1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
404,252,509,410,432,281,667,247,207,924,439,241,225,690,145,325,484,269,259,373,332,241,689,154,421,225,433,253,495,477,736,238
342,594,145,317,289,741,82,662,137,184,160,325,400,212,440,421,252,388,418,568,450,319,369,198,806,552,332,248,269,378,377,273
306,277,212,247,482,176,300,111,206,262,429,246,114,344,100,226,163,300,193,173,111,299,197,257,227,75,337,183,218,204,157,212
227,149,142,75,38,186,119,241,178,189,210,73,254,287,233,226,138,299,298,262,262,133,190,202,85,243,210,121,168,296,74,258
91,266,35,148,261,252,98,87,163,50,26,308,104,73,88,83,284,114,127,134,172,81,232,115,55,354,263,81,87,222,182,185
51,193,228,42,87,256,139,4,37,124,25,163,11,30,169,167,51,240,22,0,49,324,27,25,58,110,107,59,110,347,129,69
120,97,69,32,105,96,186,5,6,18,0,13,95,1,127,69,44,47,8,11,26,91,2,12,2,46,79,52,2,115,182,2
30,95,51,12,62,70,172,1,186,47,1,0,141,6,108,65,80,1,1,1,1,102,0,25,81,27,190,0,0,82,10,6
307,118,173,0,31,30,150,4,134,120,0,76,66,0,112,89,147,184,5,106,83,164,0,1,70,78,171,75,3,20,0,1
210,184,143,36,261,139,18,22,314,71,66,84,329,21,228,280,196,176,66,264,46,294,36,220,114,25,272,53,267,99,45,0
325,171,211,169,197,327,120,208,257,120,177,474,300,109,102,207,439,195,272,264,250,179,228,228,304,171,205,512,272,146,194,280
599,188,179,259,570,324,265,466,165,106,471,322,393,411,440,421,202,179,148,443,244,237,266,429,353,285,413,214,328,242,193,209
